image,Data_,Data_Label,Data_Description
http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Reginald%20Powys.jpeg,https://snarc-llgc.wikibase.cloud/entity/Q68559,Albert Reginald Powys,British architect
http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Meadows%20Rendel%20%281828%E2%80%931918%29.png,https://snarc-llgc.wikibase.cloud/entity/Q59521,Alexander Meadows Rendel,English civil engineer
http://commons.wikimedia.org/wiki/Special:FilePath/Albrecht%20von%20Haller%201736.jpg,https://snarc-llgc.wikibase.cloud/entity/Q57618,Albrecht von Haller,"Swiss anatomist, physiologist, naturalist and poet (1708-1777)"
http://commons.wikimedia.org/wiki/Special:FilePath/Alexandra%20of%20Denmark02.jpg,https://snarc-llgc.wikibase.cloud/entity/Q57623,Alexandra of Denmark,Queen Consort of the United Kingdom (1901 - 1910)
http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Methfessel%201864%20%28IZ%2043-240%20E%20G%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q57626,Albert Methfessel,German composer
http://commons.wikimedia.org/wiki/Special:FilePath/Aleister%20Crowley%2C%20thinker.jpg,https://snarc-llgc.wikibase.cloud/entity/Q57560,Aleister Crowley,"British poet, mountaineer, and occultist"
http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Dreyfus%20%281859-1935%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q57563,Alfred Dreyfus,French artillery officer
http://commons.wikimedia.org/wiki/Special:FilePath/Alec%20Guinness%206%20Allan%20Warren.jpg,https://snarc-llgc.wikibase.cloud/entity/Q57861,Alec Guinness,British actor (1914–2000)
http://commons.wikimedia.org/wiki/Special:FilePath/Aldous%20Huxley%201947.png,https://snarc-llgc.wikibase.cloud/entity/Q57746,Aldous Huxley,English writer (1894-1963)
http://commons.wikimedia.org/wiki/Special:FilePath/Alec%20Douglas%20Home%20Allan%20Warren%20cropped.jpg,https://snarc-llgc.wikibase.cloud/entity/Q57671,Alec Douglas-Home,former Prime Minister of the United Kingdom (1903-1995)
http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Pope%20by%20Michael%20Dahl.jpg,https://snarc-llgc.wikibase.cloud/entity/Q57969,Alexander Pope,English poet (1688–1744)
http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Cadogan%201933.jpg,https://snarc-llgc.wikibase.cloud/entity/Q58708,Alexander Cadogan,British diplomat
http://commons.wikimedia.org/wiki/Special:FilePath/Alexis%20de%20Tocqueville%20%28Th%C3%A9odore%20Chass%C3%A9riau%20-%20Versailles%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q58076,Alexis de Tocqueville,French political thinker and historian (1805-1859)
http://commons.wikimedia.org/wiki/Special:FilePath/AlexanderBaring.jpg,https://snarc-llgc.wikibase.cloud/entity/Q58151,"Alexander Baring, 1st Baron Ashburton",British politician (1774-1848)
